MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
OTANCHE;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;43
OTANCHE;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;13
OTANCHE;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;616
PACHAVITA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;389
PACHAVITA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;16
PACHAVITA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;4
PACHAVITA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1028
PAEZ;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;515
PAEZ;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;38
PAEZ;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;9
PAEZ;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1376
PAIPA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;5502
PAIPA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;763
PAIPA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;696
PAIPA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;10880
PAJARITO;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;205
PAJARITO;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;29
PAJARITO;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;42
PAJARITO;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;842
PANQUEBA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;392
PANQUEBA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;41
PANQUEBA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;11
